output_qty,metric,LogisticRegression,AdaBoost,DeepNeuralNetwork,RandomForest
2_classes,Accuracy,0.9768223161948281,0.9982728093858065,0.9861595532597935,0.998689738827468
2_classes,Recall,0.9768223161948281,0.9982728093858065,0.9861595532597935,0.998689738827468
2_classes,Precision,0.9769285298177605,0.9982576063114397,0.9848043020092027,0.9986841312744417
2_classes,F1_Score,0.976875154211985,0.9982594142332212,0.9843626101818661,0.9986862418358999
6_classes,Accuracy,0.6630999478373566,0.997811894817313,0.6798626177221652,0.9987467336397011
6_classes,Recall,0.6630999478373566,0.997811894817313,0.6798626177221652,0.9987467336397011
6_classes,Precision,0.4850778124693085,0.9982242191348143,0.5216929044407097,0.9987740693152389
6_classes,F1_Score,0.5395013410027609,0.9979621869621222,0.5577017341786197,0.9987573103223033
19_classes,Accuracy,0.23688159079955048,0.8324823347057518,0.2422428202024307,0.9964365852177759
19_classes,Recall,0.23688159079955048,0.8324823347057518,0.2422428202024307,0.9964365852177759
19_classes,Precision,0.06471027956032156,0.9009248843006635,0.24502242444922986,0.9965339279089562
19_classes,F1_Score,0.0966290862419824,0.8071719238359116,0.1066094093860694,0.9962658884964007
